SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
37530,2023-09,438,순창장류축제,순창장류축제,7320,문화축제
37531,2023-09,866,스테핑스톤페스티벌,스테핑스톤페스티벌,50,문화축제
37532,2023-09,1036,시래기축제,시래기축제,59,문화축제
37533,2023-09,452,시흥갯골축제,시흥갯골축제,64010,문화축제
37534,2023-09,151,신안튤립축제,신안튤립축제,390,문화축제
37535,2023-09,1110,신정호 별빛축제,신정호별빛축제,38,문화축제
37536,2023-09,195,심훈상록문화제,심훈상록문화제,4100,문화축제
37537,2023-09,175,아산성웅이순신축제,아산성웅이순신축제,190,문화축제
37538,2023-09,675,아트제주2019,아트제주,140,문화축제
37539,2023-09,531,안동국제탈춤축제,안동국제탈춤축제,180,문화축제
37540,2023-09,530,안동민속축제,안동민속축제,80,문화축제
37541,2023-09,815,안산 대부포도축제,안산대부포도축제,1780,문화축제
37542,2023-09,804,안산국제거리극축제,안산국제거리극축제,320,문화축제
37543,2023-09,816,안산사이언스밸리(ASV) 과학축제,안산사이언스밸리과학축제,420,문화축제
37544,2023-09,454,안성맞춤남사당바우덕이축제,안성맞춤남사당바우덕이축제,2960,문화축제
37545,2023-09,938,약령개장 357주년 2015「대구약령시 한방문화축제」,대구약령시한방문화축제,90,문화축제
37546,2023-09,1035,양록제,양록제,540,문화축제
37547,2023-09,759,양산삽량문화축전,양산삽량문화축전,8840,문화축제
37548,2023-09,758,양산웅상회야제,양산웅상회야제,70,문화축제
37549,2023-09,410,양양문화제,양양문화제,50,문화축제
37550,2023-09,408,양양송이축제,양양송이축제,21000,문화축제
37551,2023-09,409,양양연어축제,양양연어축제,3270,문화축제
37552,2023-09,188,양촌곶감축제,양촌곶감축제,80,문화축제
37553,2023-09,455,양평용문산산나물축제,양평용문산산나물축제,80,문화축제
37554,2023-09,1041,억새꽃 축제,억새꽃축제,390,문화축제
37555,2023-09,800,여르미오페스티벌,여르미오페스티벌,690,문화축제
37556,2023-09,357,여수거북선축제,여수거북선축제,440,문화축제
37557,2023-09,362,여수동동북축제,여수동동북축제,90,문화축제
37558,2023-09,364,여수마칭페스티벌,여수마칭페스티벌,810,문화축제
37559,2023-09,360,여수밤바다 불꽃축제,여수밤바다불꽃축제,16010,문화축제
37560,2023-09,358,여수여자만갯벌노을체험행사,여수여자만갯벌노을체험행사,60,문화축제
37561,2023-09,356,여수영취산진달래체험행사,여수영취산진달래체험행사,14,문화축제
37562,2023-09,456,여주오곡나루축제,여주오곡나루축제,5150,문화축제
37563,2023-09,537,연산대추축제,연산대추축제,2350,문화축제
37564,2023-09,538,연산백중놀이,연산백중놀이,30,문화축제
37565,2023-09,1076,연안부두 축제,연안부두축제,1440,문화축제
37566,2023-09,457,연천구석기축제,연천구석기축제,1380,문화축제
37567,2023-09,229,영덕대게축제,영덕대게축제,1630,문화축제
37568,2023-09,231,영덕물가자미축제,영덕물가자미축제,60,문화축제
37569,2023-09,230,영덕황금은어축제,영덕황금은어축제,30,문화축제
37570,2023-09,491,영암왕인문화축제,영암왕인문화축제,160,문화축제
37571,2023-09,340,영천문화예술제,영천문화예술제,710,문화축제
37572,2023-09,341,영천보현산별빛축제,영천보현산별빛축제,3860,문화축제
37573,2023-09,339,영천한약축제,영천한약축제,720,문화축제
37574,2023-09,1013,예산장터삼국축제,예산장터삼국축제,2910,문화축제
37575,2023-09,1086,오대산문화축전,오대산문화축전,580,문화축제
37576,2023-09,458,오산독산성문화제,오산독산성문화제,1040,문화축제
37577,2023-09,41,오징어축제,오징어축제,420,문화축제
37578,2023-09,1080,옥천깻잎축제,옥천깻잎축제,60,문화축제
37579,2023-09,717,와룡문화제,와룡문화제,67,문화축제
37580,2023-09,549,완주와일드푸드축제,완주와일드푸드축제,6000,문화축제
37581,2023-09,162,왕새우 축제,왕새우축제,910,문화축제
37582,2023-09,45,욕지 섬 문화축제,욕지섬문화축제,90,문화축제
37583,2023-09,126,용마폭포 문화예술축제,용마폭포문화예술축제,760,문화축제
37584,2023-09,1009,용암산성 옥샘문화재,용암산성옥샘문화재,14,문화축제
37586,2023-09,986,우장산 신록축제,우장산신록축제,10,문화축제
37587,2023-09,1040,운악산단풍축제,운악산단풍축제,290,문화축제
